date,mintemp,maxtemp,meantemp,rain,meanuv,maxuv,humidity,windspeed,aqi
2022/2/18,15.2,16.7,15.9,0.1,2,4,84,31.1, 48
2022/2/19,9.7,15.9,12.4,21.3, 0.5,2,92,14.5, 25
2022/2/20,8,9.8,8.5,43.4, 0.7,2,94,16.1, 18
2022/2/21,7.5,10.1,8.8,43.3, 0.7,2,95,12.1, 23
2022/2/22,9.2,12.2,10.7,39.9, 0.9,2,96,13.3, 28
2022/2/23,9.4,16.2,12.1,11,3,8,77,16.5, 37
2022/2/24,10.7,14.9,12.6,0,3,7,72,11.3, 64
2022/2/25,12.2,20.1,15.3,0,3,8,70,8.5, 69
2022/2/26,13.6,21.4,16.8,0,4,8,76,9.1, 79
2022/2/27,14.8,21.7,17.6,0,4,8,79,13.8, 112
2022/2/28,16.4,22.5,18.9,0,4,9,70,20.2, 69
2022/3/1,19.1,26.3,22,0,4,9,77,8.4, 83
2022/3/2,18.1,26.1,20.7,0,3,7,83,14.6, 120
2022/3/3,17.4,22.6,19.5,0,3,8,76,25.6, 104
2022/3/4,18.8,26.6,21.3,0,4,7,77,8.2, 106
2022/3/5,17.9,24.6,20.6,0,3,6,84,11.6, 108
2022/3/6,17.6,21.3,19.1,0,3,6,77,27.8, 76
2022/3/7,16.8,24.6,19.8,4.8,3,6,70,15.9, 60
2022/3/8,15,21.6,17.5,0,4,9,53,15.6, 43
2022/3/9,15.1,24.3,18.7,0,4,9,57,17.5, 40
2022/3/10,17.9,25,20.7,0,4,9,60,18.8, 50
2022/3/11,18.8,26.9,22.1,0,4,8,71,12.9, 53
2022/3/12,19.8,26,22.3,0,4,9,68,13, 60
2022/3/13,21,27.7,23.6,0.1,4,9,75,11.4, 54
2022/3/14,21.4,29,24.1,0,4,8,78,10, 63
2022/3/15,21.1,28.4,23.8,0,4,8,80,12.5, 70
2022/3/16,21.2,24.7,22.3,0.1,2,6,79,19.7, 65
2022/3/17,22.1,27.7,24.3,0.1,3,8,85,11.5, 57
2022/3/18,21.3,28.7,24.4,0,3,7,84,8, 113
2022/3/19,22.3,25.8,23.3,0,3,7,85,16.8, 108
2022/3/20,19.9,22.9,21,0.1,1,4,88,25.8, 70
2022/3/21,21,23.7,22.1,0.1,2,6,89,21.5, 93
2022/3/22,21.2,25.1,23,0.1,2,5,93,16.7, 77
2022/3/23,16.3,21.6,17.7,54.8, 0.8,2,94,12.9, 29
2022/3/24,16.3,18.5,17.6,1.8,1,4,91,25.5, 27
2022/3/25,18.1,26.7,23.1,0.7,2,6,90,31.7, 43
2022/3/26,24.9,28.7,26.4,0.1,3,5,86,24.3, 69
2022/3/27,19.1,25.4,21.9,0.1,1,3,83,13.4, 65
2022/3/28,16.4,19.2,17.5,30.3, 0.7,2,89,11.5, 42
2022/3/29,17.4,21.2,19.1,0.1,2,4,82,12.1, 40
2022/3/30,19.5,26.1,22.4,0,4,8,74,16.8, 57
2022/3/31,21.9,29.3,24.4,0.1,4,11,69,18.3, 49
2022/4/1,15.7,22,19,0.5,1,4,83,19.5, 53
2022/4/2,13.7,16.1,15,1.3,1,3,76,14.3, 31
2022/4/3,15.2,23.9,18.7,0,5,10,54,15.8, 53
2022/4/4,16.8,25.6,20.1,0,5,9,53,16.3, 66
2022/4/5,18.1,26.9,21.3,0,5,9,64,11.9, 69
2022/4/6,19.4,26.2,22.3,0,4,8,70,11, 67
2022/4/7,20,26.7,22.8,0,4,8,68,15.5, 58
2022/4/8,20.5,29.1,23.6,0,5,9,50,18.5, 62
2022/4/9,20.3,27.6,23.1,0,5,10,65,18, 55
2022/4/10,20.5,28.5,23.8,0,5,10,67,11.8, 64
2022/4/11,22.6,30.3,25.5,0,4,10,74,9.9, 72
2022/4/12,23,30.2,25.7,0,4,10,77,11.6, 59
2022/4/13,23.9,28.1,25.3,0.1,3,7,81,10.2, 55
2022/4/14,23,27.8,25.5,0,5,9,69,12.4, 80
2022/4/15,22.8,27.6,24.3,0.1,5,10,69,27.8, 57
2022/4/16,21.2,22.9,21.8,0.1,2,7,73,30, 61
2022/4/17,19.2,24.9,21.4,0.4,3,9,72,19.3, 73
2022/4/18,20.9,23.2,21.7,0.1,1,5,76,14.3, 81
2022/4/19,19.1,21.1,20.1,0.8, 0.9,3,83,8.9, 52
2022/4/20,19.8,25.6,21.9,0,4,10,75,8.9, 64
2022/4/21,21.4,28.4,23.9,0,4,9,78,10.3, 106
2022/4/22,23.4,27.2,24.8,0,3,7,84,14.3, 75
2022/4/23,24.1,30.3,26.4,0.1,4,9,81,10.3, 65
2022/4/24,24.9,30.9,27.2,0,4,10,79,13, 52
2022/4/25,26.3,31.4,27.9,0,4,8,79,14.1, 46
2022/4/26,26.2,29.8,27.7,0,3,7,80,13.3, 54
2022/4/27,26.1,31.6,28.4,0,4,8,78,12, 57
2022/4/28,26.8,31.6,28.4,0,4,10,79,19.9, 57
2022/4/29,26.2,32,28.2,0,4,8,79,10.7, 62
2022/4/30,24.3,26.8,25.4,0.5,1,2,85,21, 56
2022/5/1,17.1,24.6,20.7,32.4,1,3,89,19.3, 35
2022/5/2,16.4,21.3,18.5,23.4,3,6,84,12.9, 31
2022/5/3,18.8,26.6,22.3,0,5,9,62,14.3, 58
2022/5/4,21.6,28.5,24.6,0,5,9,63,13.1, 49
2022/5/5,23.2,29.3,25.2,0,5,9,73,13.8, 59
2022/5/6,23.4,28.9,25.5,0,5,10,76,14.1, 62
2022/5/7,23.6,29.7,25.4,0.8,4,11,77,12.3, 57
2022/5/8,23.4,27.5,25,0.1,3,8,70,14.6, 62
2022/5/9,24.3,29,25.6,0.1,4,11,75,14.2, 69
2022/5/10,24.4,27.7,25.7,1.4,3,7,88,15.5, 49
2022/5/11,24.2,25.9,25,61.4, 0.4,1,95,14.2, 32
2022/5/12,24.6,27,25.8,123.5, 0.2, 0.6,91,18.6, 35
2022/5/13,24.3,26.9,25.5,107.1,2,9,92,14.1, 35
2022/5/14,23.5,26.5,24.6,5,3,8,93,10.9, 25
2022/5/15,20.8,24.9,22.6,26.2,3,9,91,21.1, 21
2022/5/16,18.8,20.8,20,4.7,2,4,85,14, 31
2022/5/17,19.6,26.3,22.4,0,4,10,72,13.2, 45
2022/5/18,21.9,27.1,23.9,0,4,10,52,16, 58
2022/5/19,23.5,30,25.8,0,5,11,64,13.5, 60
2022/5/20,24.5,30.9,26.9,0,5,9,76,9.7, 70
2022/5/21,24.6,30.7,26.9,0,4,9,78,11.4, 70
2022/5/22,24.1,27.2,25,0.6,2,6,83,25.5, 61
2022/5/23,23.1,24.8,24,11.2,1,2,90,27.1, 51
2022/5/24,23.7,25,24.4,10.3,1,4,93,20.3, 39
2022/5/25,23.8,27.4,25.3,1.3,3,7,91,16.2, 42
2022/5/26,25.1,28.6,26.7,2.4,4,11,88,14.2, 54
2022/5/27,26.1,28.5,27.4,24.7, 0.9,2,89,9.5, 51
2022/5/28,27.1,31.3,28.7,0.1,4,10,81,17.3, 48
2022/5/29,27.8,32.2,29.1,0.1,4,10,79,15.8, 38
2022/5/30,27.4,32.7,29.2,0.1,5,10,78,11.9, 42
2022/5/31,27.4,30.7,28.2,0.1,3,8,82,10.9, 47
2022/6/1,27,30.9,28.7,1.2,3,7,81,11.8, 42
2022/6/2,26,31,28.8,11.9,4,10,80,17.7, 34
2022/6/3,28,31.2,29.2,1.6,3,8,81,19.4, 45
2022/6/4,28.6,32,29.6,0.1,5,11,78,22.5, 45
2022/6/5,28.7,32,29.6,0.1,5,12,78,22.9, 41
